Prints the 267 taxa found for file report_orthAgogue, with the list of taxa object consuming a total size of 202.130722.2MB
Efm0054 is in [0, 2270], with a total of 2270
Efm0083 is in [2270, 4588], with a total of 2318
Efm0158 is in [4588, 6966], with a total of 2378
Efm0023 is in [6966, 9356], with a total of 2390
Efm0221 is in [9356, 11747], with a total of 2391
Efm0018 is in [11747, 14158], with a total of 2411
Efm0035 is in [14158, 16577], with a total of 2419
Efm0022 is in [16577, 19007], with a total of 2430
Efm0033 is in [19007, 21439], with a total of 2432
Efm0051 is in [21439, 23872], with a total of 2433
Efm0239 is in [23872, 26310], with a total of 2438
Efm0110 is in [26310, 28749], with a total of 2439
Efm0019 is in [28749, 31193], with a total of 2444
Efm0058 is in [31193, 33643], with a total of 2450
Efm0146 is in [33643, 36093], with a total of 2450
Efm0021 is in [36093, 38544], with a total of 2451
Efm0205 is in [38544, 40995], with a total of 2451
Efm0171 is in [40995, 43448], with a total of 2453
Efm0024 is in [43448, 45902], with a total of 2454
Efm0032 is in [45902, 48358], with a total of 2456
Efm0049 is in [48358, 50814], with a total of 2456
Efm0187 is in [50814, 53270], with a total of 2456
Efm0084 is in [53270, 55732], with a total of 2462
Efm0186 is in [55732, 58194], with a total of 2462
Efm0074 is in [58194, 60659], with a total of 2465
Efm0174 is in [60659, 63124], with a total of 2465
Efm0026 is in [63124, 65590], with a total of 2466
Efm0173 is in [65590, 68057], with a total of 2467
Efm0027 is in [68057, 70528], with a total of 2471
Efm0183 is in [70528, 73004], with a total of 2476
Efm0089 is in [73004, 75484], with a total of 2480
Efm0030 is in [75484, 77966], with a total of 2482
Efm0028 is in [77966, 80458], with a total of 2492
Efm0078 is in [80458, 82951], with a total of 2493
Efm0175 is in [82951, 85447], with a total of 2496
Efm0010 is in [85447, 87949], with a total of 2502
Efm0176 is in [87949, 90451], with a total of 2502
Efm0001 is in [90451, 92954], with a total of 2503
Efm0031 is in [92954, 95461], with a total of 2507
Efm0230 is in [95461, 97969], with a total of 2508
Efm0079 is in [97969, 100481], with a total of 2512
Efm0034 is in [100481, 102994], with a total of 2513
Efm0056 is in [102994, 105508], with a total of 2514
Efm0020 is in [105508, 108027], with a total of 2519
Efm0029 is in [108027, 110546], with a total of 2519
Efm0206 is in [110546, 113065], with a total of 2519
Efm0228 is in [113065, 115587], with a total of 2522
Efm0052 is in [115587, 118111], with a total of 2524
Efm0243 is in [118111, 120639], with a total of 2528
Efm0087 is in [120639, 123168], with a total of 2529
Efm0256 is in [123168, 125697], with a total of 2529
Efm0025 is in [125697, 128227], with a total of 2530
Efm0257 is in [128227, 130764], with a total of 2537
Efm0106 is in [130764, 133303], with a total of 2539
Efm0108 is in [133303, 135850], with a total of 2547
Efm0055 is in [135850, 138401], with a total of 2551
Efm0077 is in [138401, 140957], with a total of 2556
Efm0238 is in [140957, 143515], with a total of 2558
Efm0045 is in [143515, 146075], with a total of 2560
Efm0169 is in [146075, 148635], with a total of 2560
Efm0217 is in [148635, 151195], with a total of 2560
Efm0009 is in [151195, 153757], with a total of 2562
Efm0098 is in [153757, 156319], with a total of 2562
Efm0234 is in [156319, 158883], with a total of 2564
Efm0062 is in [158883, 161448], with a total of 2565
Efm0104 is in [161448, 164016], with a total of 2568
Efm0190 is in [164016, 166589], with a total of 2573
Efm0060 is in [166589, 169172], with a total of 2583
Efm0207 is in [169172, 171755], with a total of 2583
Efm0254 is in [171755, 174340], with a total of 2585
Efm0099 is in [174340, 176926], with a total of 2586
Efm0210 is in [176926, 179516], with a total of 2590
Efm0216 is in [179516, 182107], with a total of 2591
Efm0107 is in [182107, 184701], with a total of 2594
Efm0145 is in [184701, 187301], with a total of 2600
Efm0057 is in [187301, 189903], with a total of 2602
Efm0041 is in [189903, 192516], with a total of 2613
Efm0067 is in [192516, 195130], with a total of 2614
Efm0182 is in [195130, 197745], with a total of 2615
Efm0105 is in [197745, 200362], with a total of 2617
Efm0170 is in [200362, 202979], with a total of 2617
Efm0262 is in [202979, 205599], with a total of 2620
Efm0208 is in [205599, 208220], with a total of 2621
Efm0053 is in [208220, 210842], with a total of 2622
Efm0260 is in [210842, 213468], with a total of 2626
Efm0263 is in [213468, 216094], with a total of 2626
Efm0245 is in [216094, 218721], with a total of 2627
Efm0157 is in [218721, 221349], with a total of 2628
Efm0156 is in [221349, 223979], with a total of 2630
Efm0065 is in [223979, 226610], with a total of 2631
Efm0076 is in [226610, 229242], with a total of 2632
Efm0185 is in [229242, 231874], with a total of 2632
Efm0188 is in [231874, 234506], with a total of 2632
Efm0184 is in [234506, 237142], with a total of 2636
Efm0258 is in [237142, 239778], with a total of 2636
Efm0008 is in [239778, 242415], with a total of 2637
Efm0113 is in [242415, 245056], with a total of 2641
Efm0064 is in [245056, 247706], with a total of 2650
Efm0192 is in [247706, 250358], with a total of 2652
Efm0246 is in [250358, 253013], with a total of 2655
Efm0075 is in [253013, 255672], with a total of 2659
Efm0094 is in [255672, 258332], with a total of 2660
Efm0231 is in [258332, 260992], with a total of 2660
Efm0252 is in [260992, 263653], with a total of 2661
Efm0259 is in [263653, 266315], with a total of 2662
Efm0181 is in [266315, 268980], with a total of 2665
Efm0085 is in [268980, 271647], with a total of 2667
Efm0088 is in [271647, 274317], with a total of 2670
Efm0059 is in [274317, 276991], with a total of 2674
Efm0103 is in [276991, 279666], with a total of 2675
Efm0066 is in [279666, 282348], with a total of 2682
Efm0046 is in [282348, 285034], with a total of 2686
Efm0036 is in [285034, 287721], with a total of 2687
Efm0197 is in [287721, 290409], with a total of 2688
Efm0150 is in [290409, 293101], with a total of 2692
Efm0236 is in [293101, 295795], with a total of 2694
Efm0244 is in [295795, 298490], with a total of 2695
Efm0047 is in [298490, 301186], with a total of 2696
Efm0063 is in [301186, 303882], with a total of 2696
Efm0232 is in [303882, 306578], with a total of 2696
Efm0233 is in [306578, 309276], with a total of 2698
Efm0261 is in [309276, 311975], with a total of 2699
Efm0172 is in [311975, 314677], with a total of 2702
Efm0006 is in [314677, 317382], with a total of 2705
Efm0118 is in [317382, 320088], with a total of 2706
Efm0011 is in [320088, 322796], with a total of 2708
Efm0240 is in [322796, 325504], with a total of 2708
Efm0114 is in [325504, 328219], with a total of 2715
Efm0242 is in [328219, 330934], with a total of 2715
Efm0177 is in [330934, 333652], with a total of 2718
Efm0112 is in [333652, 336371], with a total of 2719
Efm0090 is in [336371, 339091], with a total of 2720
Efm0086 is in [339091, 341813], with a total of 2722
Efm0189 is in [341813, 344537], with a total of 2724
Efm0237 is in [344537, 347262], with a total of 2725
Efm0147 is in [347262, 349988], with a total of 2726
Efm0226 is in [349988, 352722], with a total of 2734
Efm0081 is in [352722, 355458], with a total of 2736
Efm0115 is in [355458, 358196], with a total of 2738
Efm0050 is in [358196, 360936], with a total of 2740
Efm0015 is in [360936, 363678], with a total of 2742
Efm0255 is in [363678, 366422], with a total of 2744
Efm0002 is in [366422, 369169], with a total of 2747
Efm0250 is in [369169, 371918], with a total of 2749
Efm0039 is in [371918, 374668], with a total of 2750
Efm0219 is in [374668, 377424], with a total of 2756
Efm0199 is in [377424, 380182], with a total of 2758
Efm0235 is in [380182, 382941], with a total of 2759
Efm0247 is in [382941, 385701], with a total of 2760
Efm0119 is in [385701, 388463], with a total of 2762
Efm0202 is in [388463, 391227], with a total of 2764
Efm0082 is in [391227, 393994], with a total of 2767
Efm0091 is in [393994, 396780], with a total of 2786
Efm0121 is in [396780, 399567], with a total of 2787
Efm0017 is in [399567, 402355], with a total of 2788
Efm0149 is in [402355, 405146], with a total of 2791
Efm0096 is in [405146, 407939], with a total of 2793
Efm0195 is in [407939, 410732], with a total of 2793
Efm0097 is in [410732, 413528], with a total of 2796
Efm0218 is in [413528, 416325], with a total of 2797
Efm0042 is in [416325, 419125], with a total of 2800
Efm0109 is in [419125, 421929], with a total of 2804
Efm0013 is in [421929, 424735], with a total of 2806
Efm0148 is in [424735, 427541], with a total of 2806
Efm0151 is in [427541, 430350], with a total of 2809
Efm0209 is in [430350, 433161], with a total of 2811
Efm0111 is in [433161, 435973], with a total of 2812
Efm0229 is in [435973, 438786], with a total of 2813
Efm0093 is in [438786, 441601], with a total of 2815
Efm0194 is in [441601, 444420], with a total of 2819
Efm0213 is in [444420, 447239], with a total of 2819
Efm0249 is in [447239, 450060], with a total of 2821
Efm0016 is in [450060, 452883], with a total of 2823
Efm0092 is in [452883, 455707], with a total of 2824
Efm0007 is in [455707, 458533], with a total of 2826
Efm0241 is in [458533, 461366], with a total of 2833
Efm0248 is in [461366, 464203], with a total of 2837
Efm0212 is in [464203, 467042], with a total of 2839
Efm0215 is in [467042, 469881], with a total of 2839
Efm0211 is in [469881, 472723], with a total of 2842
Efm0222 is in [472723, 475566], with a total of 2843
Efm0043 is in [475566, 478411], with a total of 2845
Efm0069 is in [478411, 481260], with a total of 2849
Efm0178 is in [481260, 484118], with a total of 2858
Efm0101 is in [484118, 486977], with a total of 2859
Efm0070 is in [486977, 489838], with a total of 2861
Efm0138 is in [489838, 492708], with a total of 2870
Efm0014 is in [492708, 495580], with a total of 2872
Efm0005 is in [495580, 498453], with a total of 2873
Efm0012 is in [498453, 501327], with a total of 2874
Efm0117 is in [501327, 504201], with a total of 2874
Efm0127 is in [504201, 507076], with a total of 2875
Efm0220 is in [507076, 509954], with a total of 2878
Efm0004 is in [509954, 512833], with a total of 2879
Efm0080 is in [512833, 515713], with a total of 2880
Efm0131 is in [515713, 518593], with a total of 2880
Efm0125 is in [518593, 521474], with a total of 2881
Efm0223 is in [521474, 524356], with a total of 2882
Efm0132 is in [524356, 527239], with a total of 2883
Efm0140 is in [527239, 530122], with a total of 2883
Efm0130 is in [530122, 533008], with a total of 2886
Efm0152 is in [533008, 535894], with a total of 2886
Efm0201 is in [535894, 538780], with a total of 2886
Efm0003 is in [538780, 541669], with a total of 2889
Efm0155 is in [541669, 544559], with a total of 2890
Efm0120 is in [544559, 547452], with a total of 2893
Efm0124 is in [547452, 550345], with a total of 2893
Efm0193 is in [550345, 553240], with a total of 2895
Efm0133 is in [553240, 556139], with a total of 2899
Efm0137 is in [556139, 559038], with a total of 2899
Efm0191 is in [559038, 561937], with a total of 2899
Efm0203 is in [561937, 564837], with a total of 2900
Efm0102 is in [564837, 567741], with a total of 2904
Efm0204 is in [567741, 570648], with a total of 2907
Efm0154 is in [570648, 573560], with a total of 2912
Efm0198 is in [573560, 576474], with a total of 2914
Efm0135 is in [576474, 579389], with a total of 2915
Efm0116 is in [579389, 582305], with a total of 2916
Efm0134 is in [582305, 585221], with a total of 2916
Efm0266 is in [585221, 588137], with a total of 2916
Efm0129 is in [588137, 591055], with a total of 2918
Efm0143 is in [591055, 593973], with a total of 2918
Efm0196 is in [593973, 596891], with a total of 2918
Efm0142 is in [596891, 599811], with a total of 2920
Efm0122 is in [599811, 602733], with a total of 2922
Efm0128 is in [602733, 605657], with a total of 2924
Efm0072 is in [605657, 608582], with a total of 2925
Efm0167 is in [608582, 611508], with a total of 2926
Efm0251 is in [611508, 614435], with a total of 2927
Efm0071 is in [614435, 617363], with a total of 2928
Efm0225 is in [617363, 620291], with a total of 2928
Efm0139 is in [620291, 623221], with a total of 2930
Efm0141 is in [623221, 626152], with a total of 2931
Efm0037 is in [626152, 629086], with a total of 2934
Efm0126 is in [629086, 632023], with a total of 2937
Efm0180 is in [632023, 634961], with a total of 2938
Efm0163 is in [634961, 637903], with a total of 2942
Efm0048 is in [637903, 640850], with a total of 2947
Efm0161 is in [640850, 643804], with a total of 2954
Efm0166 is in [643804, 646759], with a total of 2955
Efm0264 is in [646759, 649718], with a total of 2959
Efm0153 is in [649718, 652683], with a total of 2965
Efm0162 is in [652683, 655648], with a total of 2965
Efm0160 is in [655648, 658619], with a total of 2971
Efm0073 is in [658619, 661591], with a total of 2972
Efm0100 is in [661591, 664564], with a total of 2973
Efm0179 is in [664564, 667541], with a total of 2977
Efm0214 is in [667541, 670521], with a total of 2980
Efm0265 is in [670521, 673503], with a total of 2982
Efm0164 is in [673503, 676489], with a total of 2986
Efm0227 is in [676489, 679476], with a total of 2987
Efm0044 is in [679476, 682467], with a total of 2991
Efm0136 is in [682467, 685469], with a total of 3002
Efm0165 is in [685469, 688476], with a total of 3007
Efm0168 is in [688476, 691483], with a total of 3007
Efm0200 is in [691483, 694492], with a total of 3009
Efm0224 is in [694492, 697511], with a total of 3019
Efm0123 is in [697511, 700532], with a total of 3021
Efm0095 is in [700532, 703560], with a total of 3028
Efm0159 is in [703560, 706592], with a total of 3032
Efm0253 is in [706592, 709645], with a total of 3053
Efm0144 is in [709645, 712705], with a total of 3060
Efm0068 is in [712705, 715766], with a total of 3061
Efm0061 is in [715766, 718849], with a total of 3083
Efm0267 is in [718849, 721955], with a total of 3106
Efm0040 is in [721955, 725081], with a total of 3126
Efm0038 is in [725081, 728288], with a total of 3207
--	Used in total 0.00000000 seconds for this operation
